,group
107,3
150,3
281,3
284,3
308,3
315,3
325,3
342,3
401,3
405,3
415,3
420,3
427,3
444,3
446,3
449,3
468,3
473,3
498,3
552,3
555,3
558,3
577,3
578,3
581,3
592,3
605,3
610,3
638,3
668,3
716,3
722,3
764,3
782,3
783,3
806,3
867,3
890,3
898,3
901,3
907,3
909,3
911,3
920,3
941,3
949,3
960,3
978,3
980,3
996,3
1005,3
1011,3
1031,3
1032,3
1034,3
1052,3
1054,3
1055,3
1074,3
1080,3
1081,3
1093,3
1101,3
1128,3
1132,3
1140,3
1190,3
1208,3
1209,3
1222,3
1255,3
1267,3
1278,3
1298,3
1300,3
1306,3
1324,3
1373,3
1397,3
1400,3
1407,3
1412,3
1441,3
1483,3
1486,3
1492,3
1505,3
1517,3
1521,3
1539,3
1547,3
1548,3
1552,3
1554,3
1582,3
1592,3
1597,3
1625,3
1647,3
1657,3
1667,3
1681,3
1711,3
1720,3
1742,3
1808,3
1818,3
1837,3
1848,3
1864,3
1873,3
1890,3
1892,3
1900,3
1902,3
1918,3
1934,3
1944,3
1945,3
1958,3
1970,3
1975,3
1976,3
1987,3
1988,3
1992,3
2003,3
2011,3
2021,3
2022,3
2026,3
2032,3
2033,3
2034,3
2044,3
2045,3
2054,3
2055,3
2069,3
2072,3
2080,3
2091,3
2094,3
2102,3
2113,3
2114,3
2118,3
2121,3
2122,3
2147,3
2149,3
2154,3
2178,3
2179,3
2181,3
2197,3
2198,3
2199,3
2203,3
2208,3
2220,3
2222,3
2229,3
2246,3
2247,3
2289,3
2321,3
2325,3
2332,3
2333,3
2340,3
2345,3
2347,3
2361,3
2366,3
2378,3
2391,3
2396,3
2403,3
2417,3
2420,3
2423,3
2434,3
2436,3
2443,3
2459,3
2477,3
2499,3
2507,3
2514,3
2525,3
2535,3
2539,3
2540,3
2541,3
2552,3
2555,3
2556,3
2558,3
2563,3
2568,3
2571,3
2575,3
2578,3
2583,3
2605,3
2607,3
2635,3
2653,3
2677,3
2723,3
2739,3
2775,3
2784,3
2792,3
2793,3
2795,3
2809,3
2810,3
2815,3
2832,3
2858,3
2870,3
2873,3
2899,3
2912,3
2928,3
2932,3
2938,3
2942,3
3003,3
3007,3
3039,3
3042,3
3053,3
3087,3
3094,3
3102,3
3114,3
3118,3
3130,3
3134,3
3143,3
3145,3
3158,3
3159,3
3165,3
3188,3
3203,3
3232,3
3242,3
3283,3
3287,3
3296,3
3304,3
3311,3
3320,3
3324,3
3341,3
3342,3
3348,3
3357,3
3379,3
3389,3
3398,3
3437,3
3440,3
3447,3
3464,3
3467,3
3473,3
3483,3
3485,3
3497,3
3527,3
3537,3
3563,3
3569,3
3570,3
3585,3
3611,3
3635,3
3641,3
3655,3
3661,3
3667,3
3669,3
3682,3
3688,3
3690,3
3717,3
3734,3
3748,3
3753,3
3762,3
3763,3
3778,3
3806,3
3817,3
3819,3
3831,3
3832,3
3836,3
3839,3
3842,3
3855,3
3870,3
3871,3
3879,3
3924,3
3928,3
3947,3
3974,3
3979,3
4021,3
4055,3
4057,3
4080,3
4081,3
4091,3
4127,3
4164,3
4166,3
4180,3
4183,3
4187,3
4188,3
4196,3
4225,3
4229,3
4243,3
4259,3
4270,3
4293,3
4299,3
4315,3
4323,3
4324,3
4327,3
4328,3
4333,3
4341,3
4342,3
4347,3
4350,3
4395,3
4401,3
4403,3
4431,3
4443,3
4444,3
4478,3
4484,3
4508,3
4511,3
4524,3
4551,3
4554,3
4560,3
4571,3
4575,3
4578,3
4584,3
4608,3
4619,3
4631,3
4632,3
4650,3
4664,3
4676,3
4696,3
4700,3
4701,3
4706,3
4727,3
4734,3
4758,3
4759,3
4773,3
4778,3
4787,3
4794,3
4799,3
4804,3
4852,3
4853,3
4867,3
4882,3
4895,3
4948,3
4961,3
4973,3
4977,3
4985,3
5000,3
5021,3
5025,3
5034,3
5049,3
5052,3
5053,3
5057,3
5081,3
5085,3
5097,3
5109,3
5124,3
5128,3
5129,3
5132,3
5133,3
5153,3
5162,3
5174,3
5176,3
5177,3
5183,3
5187,3
5208,3
5215,3
5220,3
5221,3
5243,3
5256,3
5274,3
5275,3
5281,3
5287,3
5309,3
5330,3
5345,3
5346,3
5372,3
5399,3
5404,3
5408,3
5425,3
5430,3
5538,3
5539,3
5543,3
5562,3
5565,3
5571,3
5579,3
5581,3
5589,3
5602,3
5624,3
5630,3
5641,3
5657,3
5661,3
5663,3
5666,3
5676,3
5688,3
5689,3
5701,3
5792,3
5797,3
5827,3
5830,3
5892,3
5944,3
5945,3
5990,3
6007,3
6014,3
6019,3
6026,3
6051,3
6058,3
6080,3
6090,3
6107,3
6110,3
6127,3
6143,3
6144,3
6161,3
6167,3
6175,3
6191,3
6193,3
6197,3
6240,3
6253,3
6268,3
6276,3
6283,3
6304,3
6337,3
6341,3
6350,3
6351,3
6369,3
6375,3
6377,3
6378,3
6385,3
6386,3
6408,3
6427,3
6441,3
6443,3
6477,3
6485,3
6488,3
6493,3
6497,3
6503,3
6530,3
6534,3
6535,3
6554,3
6567,3
6576,3
6588,3
6607,3
6623,3
6633,3
6636,3
6690,3
6710,3
6722,3
6728,3
6730,3
6733,3
6737,3
6745,3
6752,3
6764,3
6778,3
6791,3
6794,3
6804,3
6811,3
6823,3
6831,3
6848,3
6857,3
6876,3
6889,3
6904,3
6917,3
6935,3
6945,3
6958,3
6969,3
7025,3
7042,3
7047,3
7050,3
7132,3
7137,3
7150,3
7174,3
7205,3
7210,3
7255,3
7259,3
7267,3
7273,3
7278,3
7279,3
7282,3
7296,3
7297,3
7316,3
7318,3
7331,3
7335,3
7348,3
7381,3
7389,3
7429,3
7439,3
7513,3
7518,3
7523,3
7573,3
7583,3
7599,3
7613,3
7622,3
7625,3
7645,3
7653,3
7657,3
7674,3
7681,3
7684,3
7691,3
7694,3
7695,3
7719,3
7736,3
7743,3
7744,3
7751,3
7762,3
7764,3
7765,3
7793,3
7795,3
7849,3
7863,3
7880,3
7882,3
7898,3
7903,3
7911,3
7932,3
7933,3
7949,3
7953,3
7961,3
7992,3
8015,3
8043,3
8044,3
8057,3
8060,3
8062,3
8093,3
8156,3
8174,3
8177,3
8220,3
8287,3
8300,3
8301,3
8302,3
8320,3
8414,3
8427,3
8430,3
8450,3
8500,3
8511,3
8527,3
8528,3
8551,3
8558,3
8562,3
8563,3
8573,3
8580,3
8601,3
8609,3
8624,3
8635,3
8648,3
8667,3
8680,3
8738,3
8777,3
8839,3
8847,3
8857,3
8900,3
8914,3
8923,3
9005,3
9013,3
9017,3
9040,3
9068,3
9078,3
9121,3
9126,3
9144,3
9153,3
9160,3
9170,3
9178,3
9219,3
9245,3
9248,3
9261,3
9296,3
9300,3
9307,3
9316,3
9341,3
9345,3
9422,3
9446,3
9450,3
9459,3
9477,3
9495,3
9508,3
9539,3
9543,3
9570,3
9576,3
9589,3
9599,3
9654,3
9656,3
9724,3
9743,3
9766,3
9767,3
9806,3
9812,3
9816,3
9818,3
9826,3
9831,3
9832,3
9843,3
9865,3
9866,3
9893,3
9904,3
9920,3
9936,3
9957,3
9963,3
9990,3
9995,3
9998,3
10048,3
10069,3
10087,3
10100,3
10117,3
10124,3
10158,3
10159,3
10172,3
10174,3
10183,3
10207,3
10281,3
10297,3
10311,3
10314,3
10333,3
10351,3
10352,3
10362,3
10382,3
10390,3
10402,3
10409,3
10418,3
10421,3
10428,3
10468,3
10490,3
10495,3
10537,3
10585,3
10609,3
10631,3
10652,3
10663,3
10685,3
10693,3
10700,3
10719,3
10753,3
10754,3
10757,3
10772,3
10783,3
10791,3
10841,3
10850,3
10894,3
10912,3
10914,3
10936,3
10954,3
11005,3
11130,3
11147,3
11165,3
11183,3
11192,3
11200,3
11214,3
11216,3
11217,3
11218,3
11222,3
11230,3
11248,3
11249,3
11264,3
11266,3
11287,3
11305,3
11354,3
11367,3
11392,3
11403,3
11451,3
11495,3
11497,3
11509,3
11541,3
11597,3
11599,3
11614,3
11636,3
11651,3
11743,3
11748,3
11750,3
11754,3
11759,3
11771,3
11775,3
11802,3
11822,3
11831,3
11835,3
11838,3
11876,3
11912,3
11953,3
11956,3
11959,3
11960,3
11966,3
11975,3
11983,3
11991,3
11994,3
12050,3
12067,3
12092,3
12108,3
12127,3
12132,3
12166,3
12179,3
12187,3
12233,3
12296,3
12350,3
12374,3
12380,3
12416,3
12471,3
12613,3
12649,3
12675,3
12678,3
12685,3
12686,3
12724,3
12738,3
12782,3
12788,3
12794,3
12836,3
12967,3
12990,3
13000,3
13038,3
13041,3
13078,3
13088,3
13152,3
13183,3
13267,3
13298,3
13299,3
13304,3
13332,3
13398,3
13452,3
13488,3
13489,3
13507,3
13530,3
13532,3
13558,3
13620,3
13631,3
13666,3
13723,3
13726,3
13757,3
13768,3
13779,3
13788,3
13797,3
13804,3
13812,3
13836,3
13839,3
13849,3
13865,3
13896,3
13930,3
13935,3
13939,3
13943,3
13957,3
14006,3
14010,3
14016,3
14048,3
14073,3
14118,3
14162,3
14174,3
14178,3
14213,3
14233,3
14244,3
14266,3
14275,3
14276,3
14287,3
14311,3
14356,3
14412,3
14506,3
14509,3
14573,3
14634,3
14719,3
14762,3
14767,3
14788,3
14881,3
14929,3
15008,3
15016,3
15057,3
15105,3
15119,3
15134,3
15145,3
15152,3
15216,3
15277,3
15324,3
15353,3
15385,3
15407,3
15442,3
15499,3
15589,3
15628,3
15640,3
15645,3
15699,3
15753,3
15762,3
15779,3
15874,3
15886,3
15992,3
16032,3
16034,3
16076,3
16091,3
16101,3
16114,3
16118,3
16175,3
16196,3
16200,3
16401,3
16433,3
16468,3
16510,3
16555,3
16558,3
16622,3
16702,3
16705,3
16728,3
16854,3
16912,3
16924,3
16934,3
16939,3
16941,3
16943,3
16946,3
16947,3
16953,3
16974,3
16987,3
16994,3
16998,3
17046,3
17066,3
17303,3
17314,3
17333,3
17336,3
17372,3
17394,3
17458,3
17481,3
17505,3
17516,3
17542,3
17557,3
17571,3
17581,3
17601,3
17610,3
17616,3
17690,3
17712,3
17721,3
17771,3
17859,3
17940,3
18056,3
18058,3
18103,3
18133,3
18161,3
18180,3
18187,3
18233,3
18245,3
18250,3
18257,3
18317,3
18325,3
18415,3
18416,3
18449,3
18453,3
18476,3
18483,3
18501,3
18516,3
18533,3
18607,3
18638,3
18671,3
18759,3
18771,3
18812,3
18813,3
18816,3
18823,3
18849,3
18869,3
18883,3
18896,3
18901,3
18910,3
18918,3
18923,3
18967,3
18983,3
18985,3
18997,3
19066,3
19093,3
19105,3
19122,3
19232,3
19236,3
19278,3
19286,3
19287,3
19288,3
19345,3
19377,3
19399,3
19420,3
19431,3
19482,3
19549,3
19674,3
19827,3
19828,3
19832,3
19838,3
19859,3
19910,3
19972,3
20015,3
20047,3
20085,3
20103,3
20107,3
20130,3
20135,3
20138,3
20174,3
20175,3
20179,3
20431,3
20450,3
20453,3
20455,3
20479,3
20499,3
20510,3
20523,3
20561,3
20578,3
20583,3
20584,3
20617,3
20652,3
20686,3
20715,3
20732,3
20756,3
20807,3
20809,3
20821,3
20853,3
20949,3
20962,3
21044,3
21083,3
21087,3
21118,3
21137,3
21172,3
21191,3
21193,3
21244,3
21254,3
21324,3
21335,3
21403,3
21541,3
21551,3
21620,3
21644,3
21683,3
21825,3
21838,3
21882,3
22024,3
22038,3
22158,3
22228,3
22232,3
22298,3
22345,3
22378,3
22427,3
22434,3
22447,3
22460,3
22555,3
22574,3
22711,3
22728,3
22765,3
22864,3
22944,3
22955,3
22980,3
23073,3
23077,3
23105,3
23132,3
23133,3
23192,3
23205,3
23227,3
23258,3
23360,3
23362,3
23366,3
23369,3
23374,3
23545,3
23560,3
23561,3
23572,3
23680,3
23691,3
23692,3
23801,3
23900,3
23922,3
23930,3
24085,3
24097,3
