,group
32,5
38,5
42,5
72,5
86,5
95,5
108,5
144,5
172,5
206,5
210,5
211,5
226,5
246,5
262,5
304,5
311,5
337,5
345,5
363,5
370,5
381,5
396,5
422,5
438,5
445,5
447,5
454,5
526,5
530,5
546,5
549,5
554,5
589,5
591,5
604,5
616,5
622,5
649,5
720,5
746,5
870,5
874,5
877,5
887,5
889,5
891,5
985,5
1043,5
1049,5
1051,5
1064,5
1113,5
1172,5
1174,5
1176,5
1230,5
1265,5
1269,5
1271,5
1281,5
1316,5
1323,5
1329,5
1335,5
1353,5
1378,5
1381,5
1389,5
1431,5
1508,5
1537,5
1562,5
1616,5
1641,5
1648,5
1663,5
1664,5
1738,5
1783,5
1787,5
1834,5
1854,5
1857,5
1861,5
1881,5
1904,5
1950,5
1965,5
1998,5
2001,5
2073,5
2078,5
2098,5
2144,5
2158,5
2165,5
2184,5
2188,5
2189,5
2194,5
2200,5
2207,5
2221,5
2227,5
2242,5
2315,5
2353,5
2371,5
2419,5
2422,5
2433,5
2440,5
2442,5
2445,5
2457,5
2471,5
2484,5
2502,5
2567,5
2573,5
2593,5
2595,5
2597,5
2613,5
2624,5
2631,5
2649,5
2667,5
2671,5
2672,5
2685,5
2693,5
2703,5
2726,5
2732,5
2743,5
2861,5
2877,5
2891,5
2910,5
2944,5
2967,5
3013,5
3069,5
3073,5
3093,5
3115,5
3128,5
3160,5
3190,5
3216,5
3245,5
3255,5
3331,5
3358,5
3390,5
3450,5
3506,5
3508,5
3553,5
3554,5
3598,5
3618,5
3619,5
3643,5
3646,5
3648,5
3725,5
3742,5
3744,5
3781,5
3801,5
3808,5
3835,5
3847,5
3865,5
3877,5
3884,5
3898,5
3915,5
3919,5
3921,5
3932,5
3950,5
3959,5
3981,5
3990,5
4018,5
4022,5
4033,5
4054,5
4065,5
4085,5
4092,5
4115,5
4145,5
4167,5
4174,5
4182,5
4199,5
4203,5
4207,5
4260,5
4297,5
4304,5
4338,5
4355,5
4366,5
4367,5
4368,5
4383,5
4412,5
4424,5
4447,5
4455,5
4480,5
4486,5
4503,5
4507,5
4541,5
4556,5
4562,5
4564,5
4569,5
4579,5
4580,5
4595,5
4623,5
4635,5
4661,5
4670,5
4691,5
4693,5
4702,5
4786,5
4802,5
4809,5
4815,5
4828,5
4839,5
4843,5
4875,5
4888,5
4894,5
4901,5
4907,5
4966,5
4976,5
4986,5
4995,5
5004,5
5011,5
5016,5
5048,5
5062,5
5087,5
5117,5
5149,5
5150,5
5163,5
5190,5
5247,5
5249,5
5250,5
5252,5
5279,5
5341,5
5435,5
5450,5
5453,5
5468,5
5503,5
5511,5
5553,5
5561,5
5593,5
5610,5
5634,5
5650,5
5654,5
5656,5
5658,5
5667,5
5746,5
5765,5
5773,5
5799,5
5810,5
5812,5
5829,5
5882,5
5883,5
5899,5
5918,5
5949,5
5970,5
6002,5
6013,5
6052,5
6122,5
6142,5
6151,5
6164,5
6202,5
6207,5
6210,5
6236,5
6248,5
6291,5
6297,5
6306,5
6335,5
6348,5
6379,5
6380,5
6382,5
6395,5
6407,5
6468,5
6480,5
6509,5
6515,5
6516,5
6518,5
6533,5
6562,5
6565,5
6573,5
6619,5
6620,5
6655,5
6659,5
6670,5
6697,5
6703,5
6708,5
6727,5
6753,5
6754,5
6767,5
6788,5
6807,5
6827,5
6836,5
6849,5
6880,5
6920,5
6934,5
6936,5
6939,5
6948,5
6990,5
7023,5
7031,5
7040,5
7052,5
7059,5
7063,5
7066,5
7078,5
7084,5
7090,5
7107,5
7110,5
7121,5
7138,5
7160,5
7164,5
7225,5
7248,5
7314,5
7330,5
7375,5
7404,5
7411,5
7425,5
7459,5
7488,5
7510,5
7511,5
7526,5
7529,5
7540,5
7562,5
7618,5
7679,5
7697,5
7753,5
7758,5
7761,5
7786,5
7809,5
7818,5
7835,5
7881,5
7899,5
7914,5
7923,5
7931,5
7938,5
7979,5
8005,5
8040,5
8143,5
8162,5
8203,5
8223,5
8248,5
8271,5
8349,5
8413,5
8462,5
8472,5
8560,5
8617,5
8656,5
8664,5
8677,5
8692,5
8703,5
8716,5
8726,5
8768,5
8780,5
8781,5
8785,5
8799,5
8803,5
8838,5
8844,5
8861,5
8892,5
8898,5
8903,5
8904,5
8906,5
8909,5
8910,5
8924,5
8945,5
8949,5
8951,5
8954,5
9025,5
9027,5
9045,5
9056,5
9089,5
9105,5
9111,5
9152,5
9157,5
9163,5
9217,5
9249,5
9263,5
9264,5
9280,5
9311,5
9315,5
9319,5
9357,5
9387,5
9567,5
9574,5
9623,5
9697,5
9703,5
9736,5
9742,5
9755,5
9779,5
9863,5
9884,5
9887,5
9897,5
9903,5
9921,5
9927,5
9938,5
9943,5
9959,5
9966,5
10012,5
10031,5
10046,5
10050,5
10055,5
10071,5
10075,5
10089,5
10118,5
10143,5
10154,5
10166,5
10168,5
10205,5
10212,5
10225,5
10247,5
10248,5
10258,5
10318,5
10373,5
10387,5
10403,5
10407,5
10447,5
10477,5
10480,5
10494,5
10499,5
10514,5
10532,5
10559,5
10576,5
10612,5
10617,5
10621,5
10632,5
10665,5
10666,5
10686,5
10714,5
10730,5
10734,5
10747,5
10761,5
10792,5
10807,5
10819,5
