,index,number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_on,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,close_code,resolved_by,resolved_at,closed_at,duration
158,158,INC0000089,Active,True,0,0,0,True,Caller 4518,Opener 74,2016-02-29 08:51:00,Creator 66,29/2/16 9:03,Updater 291,29/2/16 9:03,Phone,Location 85,SAP,GRC-GRC Nfe,Wood supply,,2 - Medium,3 - Low,4 - Low,Group 64,Assigned to 85,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 182,3/3/16 14:35,2016-03-08 15:00:00,713340.0
159,159,INC0000089,Active,True,0,0,1,True,Caller 4518,Opener 74,2016-02-29 08:51:00,Creator 66,29/2/16 9:03,Updater 555,29/2/16 9:14,Phone,Location 85,SAP,GRC-GRC Nfe,Wood supply,,2 - Medium,3 - Low,4 - Low,Group 64,Assigned to 85,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 182,3/3/16 14:35,2016-03-08 15:00:00,713340.0
160,160,INC0000089,Active,True,1,0,2,True,Caller 4518,Opener 74,2016-02-29 08:51:00,Creator 66,29/2/16 9:03,Updater 555,29/2/16 9:14,Phone,Location 85,SAP,GRC-GRC Nfe,Wood supply,,2 - Medium,3 - Low,4 - Low,Group 66,,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 182,3/3/16 14:35,2016-03-08 15:00:00,713340.0
161,161,INC0000089,Active,True,2,0,3,True,Caller 4518,Opener 74,2016-02-29 08:51:00,Creator 66,29/2/16 9:03,Updater 672,29/2/16 9:14,Phone,Location 85,SAP ECC,PM,Wood supply,,2 - Medium,3 - Low,4 - Low,Group 54,Assigned to 68,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 182,3/3/16 14:35,2016-03-08 15:00:00,713340.0
162,162,INC0000089,Active,True,3,0,4,True,Caller 4518,Opener 74,2016-02-29 08:51:00,Creator 66,29/2/16 9:03,Updater 266,2/3/16 11:42,Phone,Location 85,SAP ECC,PM,Wood supply,,2 - Medium,3 - Low,4 - Low,Group 32,,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 182,3/3/16 14:35,2016-03-08 15:00:00,713340.0
163,163,INC0000089,Awaiting Problem,True,3,0,5,True,Caller 4518,Opener 74,2016-02-29 08:51:00,Creator 66,29/2/16 9:03,Updater 728,2/3/16 14:20,Phone,Location 85,SAP ECC,Foresty,Adobe acrobat - update error,,2 - Medium,3 - Low,4 - Low,Group 32,Assigned to 196,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 182,3/3/16 14:35,2016-03-08 15:00:00,713340.0
164,164,INC0000089,Awaiting Problem,True,3,0,6,True,Caller 4518,Opener 74,2016-02-29 08:51:00,Creator 66,29/2/16 9:03,Updater 728,2/3/16 14:27,Phone,Location 85,SAP ECC,Foresty,No access,,2 - Medium,3 - Low,4 - Low,Group 32,Assigned to 196,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 182,3/3/16 14:35,2016-03-08 15:00:00,713340.0
165,165,INC0000089,Awaiting Problem,True,3,0,7,True,Caller 4518,Opener 74,2016-02-29 08:51:00,Creator 66,29/2/16 9:03,Updater 728,2/3/16 14:30,Phone,Location 85,SAP ECC,Foresty,Wood supply,,2 - Medium,3 - Low,4 - Low,Group 32,Assigned to 196,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 182,3/3/16 14:35,2016-03-08 15:00:00,713340.0
166,166,INC0000089,Resolved,True,3,0,8,True,Caller 4518,Opener 74,2016-02-29 08:51:00,Creator 66,29/2/16 9:03,Updater 728,3/3/16 14:35,Phone,Location 85,SAP ECC,Foresty,Wood supply,,2 - Medium,3 - Low,4 - Low,Group 32,Assigned to 196,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 182,3/3/16 14:35,2016-03-08 15:00:00,713340.0
167,167,INC0000089,Closed,False,3,0,9,True,Caller 4518,Opener 74,2016-02-29 08:51:00,Creator 66,29/2/16 9:03,Updater 770,8/3/16 15:00,Phone,Location 85,SAP ECC,Foresty,Wood supply,,2 - Medium,3 - Low,4 - Low,Group 32,Assigned to 196,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 182,3/3/16 14:35,2016-03-08 15:00:00,713340.0
194,194,INC0000101,New,True,0,0,0,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 291,29/2/16 9:13,Phone,Location 111,SAP,SAP - home office,SAP x optivision,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
195,195,INC0000101,New,True,0,0,1,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 672,29/2/16 9:42,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
196,196,INC0000101,Active,True,0,0,2,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 13,29/2/16 10:28,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
197,197,INC0000101,Active,True,0,0,3,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 565,29/2/16 10:59,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
198,198,INC0000101,Active,True,0,0,4,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 565,29/2/16 10:59,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
199,199,INC0000101,Resolved,True,0,0,5,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 565,29/2/16 11:00,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
200,200,INC0000101,Closed,False,0,0,6,True,Caller 1752,Opener 74,2016-02-29 09:05:00,Creator 66,29/2/16 9:13,Updater 770,5/3/16 12:00,Phone,Location 111,Software - industry,Optivision,Error - reports,,2 - Medium,3 - Low,4 - Low,Group 61,Assigned to 162,True,False,Do Not Notify,,,,,Solved (Permanently),Resolver 150,29/2/16 11:00,2016-03-05 12:00:00,442500.0
688,688,INC0000261,Active,True,0,0,0,True,Caller 1294,Opener 55,2016-02-29 12:54:00,Creator 56,29/2/16 12:58,Updater 258,29/2/16 12:58,Phone,Location 14,SAP,BI/BO,Error - reports,,1 - High,1 - High,1 - Critical,Group 2,Assigned to 64,True,True,Do Not Notify,PRB0040033,,,,Closed/Resolved by Caller,Resolver 58,29/2/16 17:47,2016-02-29 17:47:00,17580.0
689,689,INC0000261,Active,True,0,0,1,True,Caller 1294,Opener 55,2016-02-29 12:54:00,Creator 56,29/2/16 12:58,Updater 258,29/2/16 13:14,Phone,Location 14,SAP,BI/BO,Error - reports,,1 - High,1 - High,1 - Critical,Group 2,Assigned to 64,True,False,Do Not Notify,PRB0040033,,,,Closed/Resolved by Caller,Resolver 58,29/2/16 17:47,2016-02-29 17:47:00,17580.0
690,690,INC0000261,Active,True,0,0,2,True,Caller 1294,Opener 55,2016-02-29 12:54:00,Creator 56,29/2/16 12:58,Updater 258,29/2/16 13:20,Phone,Location 14,SAP,BI/BO,Error - reports,,1 - High,1 - High,1 - Critical,Group 2,Assigned to 64,True,True,Do Not Notify,PRB0040033,,,,Closed/Resolved by Caller,Resolver 58,29/2/16 17:47,2016-02-29 17:47:00,17580.0
691,691,INC0000261,Active,True,0,0,3,True,Caller 1294,Opener 55,2016-02-29 12:54:00,Creator 56,29/2/16 12:58,Updater 258,29/2/16 13:20,Phone,Location 14,SAP,BI/BO,Error - reports,,1 - High,1 - High,1 - Critical,Group 2,Assigned to 64,True,True,Do Not Notify,PRB0040033,,,,Closed/Resolved by Caller,Resolver 58,29/2/16 17:47,2016-02-29 17:47:00,17580.0
692,692,INC0000261,Active,True,0,0,4,True,Caller 1294,Opener 55,2016-02-29 12:54:00,Creator 56,29/2/16 12:58,Updater 258,29/2/16 13:57,Phone,Location 14,SAP,BI/BO,Error - reports,,1 - High,1 - High,1 - Critical,Group 2,Assigned to 64,True,False,Do Not Notify,PRB0040033,,,,Closed/Resolved by Caller,Resolver 58,29/2/16 17:47,2016-02-29 17:47:00,17580.0
693,693,INC0000261,Active,True,0,0,5,True,Caller 1294,Opener 55,2016-02-29 12:54:00,Creator 56,29/2/16 12:58,Updater 258,29/2/16 13:59,Phone,Location 14,SAP,BI/BO,Error - reports,,1 - High,1 - High,1 - Critical,Group 2,Assigned to 64,True,True,Do Not Notify,PRB0040033,,,,Closed/Resolved by Caller,Resolver 58,29/2/16 17:47,2016-02-29 17:47:00,17580.0
694,694,INC0000261,Resolved,True,0,0,6,True,Caller 1294,Opener 55,2016-02-29 12:54:00,Creator 56,29/2/16 12:58,Updater 258,29/2/16 17:47,Phone,Location 14,SAP,BI/BO,Error - reports,,1 - High,1 - High,1 - Critical,Group 2,Assigned to 64,True,True,Do Not Notify,PRB0040033,,,,Closed/Resolved by Caller,Resolver 58,29/2/16 17:47,2016-02-29 17:47:00,17580.0
695,695,INC0000261,Closed,False,0,0,7,True,Caller 1294,Opener 55,2016-02-29 12:54:00,Creator 56,29/2/16 12:58,Updater 258,29/2/16 17:47,Phone,Location 14,SAP,BI/BO,Error - reports,,1 - High,1 - High,1 - Critical,Group 2,Assigned to 64,True,True,Do Not Notify,PRB0040033,,,,Closed/Resolved by Caller,Resolver 58,29/2/16 17:47,2016-02-29 17:47:00,17580.0
