,index,number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_on,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,close_code,resolved_by,resolved_at,closed_at,duration
481,481,INC0000173,New,True,0,0,0,True,Caller 59,Opener 3,2016-02-29 10:36:00,Creator 2,29/2/16 10:39,Updater 13,29/2/16 10:39,Phone,Location 97,Software - industry,Infocel web,System,,3 - Low,2 - Medium,4 - Low,Group 61,Assigned to 3,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 2,11/4/16 14:49,2016-04-16 15:07:00,4077060.0000000005
482,482,INC0000173,New,True,0,0,1,True,Caller 59,Opener 3,2016-02-29 10:36:00,Creator 2,29/2/16 10:39,Updater 13,29/2/16 10:40,Phone,Location 97,Software - industry,Infocel web,System,,3 - Low,2 - Medium,4 - Low,Group 61,Assigned to 3,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 2,11/4/16 14:49,2016-04-16 15:07:00,4077060.0000000005
483,483,INC0000173,Active,True,1,0,2,True,Caller 59,Opener 3,2016-02-29 10:36:00,Creator 2,29/2/16 10:39,Updater 13,29/2/16 10:48,Phone,Location 97,Software - industry,Infocel web,System,,3 - Low,2 - Medium,4 - Low,Group 61,Assigned to 3,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 2,11/4/16 14:49,2016-04-16 15:07:00,4077060.0000000005
484,484,INC0000173,Awaiting User Info,True,1,0,10,True,Caller 59,Opener 3,2016-02-29 10:36:00,Creator 2,29/2/16 10:39,Updater 17,21/3/16 11:06,Phone,Location 97,Software - industry,Infocel web,System,,3 - Low,2 - Medium,4 - Low,Group 61,Assigned to 3,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 2,11/4/16 14:49,2016-04-16 15:07:00,4077060.0000000005
485,485,INC0000173,Awaiting User Info,True,1,0,18,True,Caller 59,Opener 3,2016-02-29 10:36:00,Creator 2,29/2/16 10:39,Updater 13,11/4/16 14:47,Phone,Location 97,Software - industry,Infocel web,System,,3 - Low,2 - Medium,4 - Low,Group 61,Assigned to 3,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 2,11/4/16 14:49,2016-04-16 15:07:00,4077060.0000000005
486,486,INC0000173,Awaiting User Info,True,1,0,19,True,Caller 59,Opener 3,2016-02-29 10:36:00,Creator 2,29/2/16 10:39,Updater 13,11/4/16 14:49,Phone,Location 97,Software - industry,Infocel web,System,,3 - Low,2 - Medium,4 - Low,Group 61,Assigned to 3,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 2,11/4/16 14:49,2016-04-16 15:07:00,4077060.0000000005
487,487,INC0000173,Resolved,True,1,0,20,True,Caller 59,Opener 3,2016-02-29 10:36:00,Creator 2,29/2/16 10:39,Updater 13,11/4/16 14:49,Phone,Location 97,Software - industry,Infocel web,System,,3 - Low,2 - Medium,4 - Low,Group 61,Assigned to 3,True,True,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 2,11/4/16 14:49,2016-04-16 15:07:00,4077060.0000000005
488,488,INC0000173,Closed,False,1,0,21,False,Caller 59,Opener 3,2016-02-29 10:36:00,Creator 2,29/2/16 10:39,Updater 770,16/4/16 15:07,Phone,Location 97,Software - industry,Infocel web,System,,3 - Low,2 - Medium,4 - Low,Group 61,Assigned to 3,True,True,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 2,11/4/16 14:49,2016-04-16 15:07:00,4077060.0000000005
607,607,INC0000230,New,True,0,0,0,True,Caller 844,Opener 24,2016-02-29 12:14:00,Creator 21,29/2/16 12:33,Updater 109,29/2/16 12:33,Phone,Location 122,Software - industry,SGF (inflor),Access denied,,2 - Medium,2 - Medium,3 - Moderate,Group 33,Assigned to 144,True,False,Do Not Notify,,,,,Solved Remotely (Work Around),Resolver 132,7/3/16 15:12,2016-03-24 18:40:00,2096760.0
608,608,INC0000230,Active,True,1,0,1,True,Caller 844,Opener 24,2016-02-29 12:14:00,Creator 21,29/2/16 12:33,Updater 672,29/2/16 16:27,Phone,Location 122,Software - industry,SGF (inflor),Access denied,,2 - Medium,2 - Medium,3 - Moderate,Group 32,Assigned to 144,True,False,Do Not Notify,,,,,Solved Remotely (Work Around),Resolver 132,7/3/16 15:12,2016-03-24 18:40:00,2096760.0
609,609,INC0000230,Awaiting User Info,True,1,0,2,True,Caller 844,Opener 24,2016-02-29 12:14:00,Creator 21,29/2/16 12:33,Updater 522,29/2/16 17:35,Phone,Location 122,Software - industry,SGF (inflor),Access denied,,2 - Medium,2 - Medium,3 - Moderate,Group 32,Assigned to 144,True,False,Do Not Notify,,,,,Solved Remotely (Work Around),Resolver 132,7/3/16 15:12,2016-03-24 18:40:00,2096760.0
610,610,INC0000230,Awaiting User Info,True,1,0,3,True,Caller 844,Opener 24,2016-02-29 12:14:00,Creator 21,29/2/16 12:33,Updater 52,1/3/16 7:44,Phone,Location 122,Software - industry,SGF (inflor),Access denied,,2 - Medium,2 - Medium,3 - Moderate,Group 32,Assigned to 144,True,False,Do Not Notify,,,,,Solved Remotely (Work Around),Resolver 132,7/3/16 15:12,2016-03-24 18:40:00,2096760.0
