,index,number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_on,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,close_code,resolved_by,resolved_at,closed_at,duration
20,20,INC0000060,New,True,0,0,0,True,Caller 4129,Opener 74,2016-02-29 06:38:00,Creator 66,29/2/16 6:42,Updater 291,29/2/16 6:42,Phone,Location 160,Desktop,Source,Does not power on,,2 - Medium,2 - Medium,3 - Moderate,Group 24,Assigned to 112,True,False,Do Not Notify,,,,,Information provided,Resolver 103,2/3/16 12:06,2016-03-07 13:00:00,627720.0
21,21,INC0000060,Active,True,0,0,1,True,Caller 4129,Opener 74,2016-02-29 06:38:00,Creator 66,29/2/16 6:42,Updater 398,2/3/16 8:52,Phone,Location 160,Desktop,Source,Does not power on,,2 - Medium,2 - Medium,3 - Moderate,Group 24,Assigned to 112,True,False,Do Not Notify,,,,,Information provided,Resolver 103,2/3/16 12:06,2016-03-07 13:00:00,627720.0
22,22,INC0000060,Resolved,True,0,0,2,True,Caller 4129,Opener 74,2016-02-29 06:38:00,Creator 66,29/2/16 6:42,Updater 398,2/3/16 12:06,Phone,Location 160,Desktop,Source,Does not power on,,2 - Medium,2 - Medium,3 - Moderate,Group 24,Assigned to 112,True,False,Do Not Notify,,,,,Information provided,Resolver 103,2/3/16 12:06,2016-03-07 13:00:00,627720.0
23,23,INC0000060,Closed,False,0,0,3,True,Caller 4129,Opener 74,2016-02-29 06:38:00,Creator 66,29/2/16 6:42,Updater 770,7/3/16 13:00,Phone,Location 160,Desktop,Source,Does not power on,,2 - Medium,2 - Medium,3 - Moderate,Group 24,Assigned to 112,True,False,Do Not Notify,,,,,Information provided,Resolver 103,2/3/16 12:06,2016-03-07 13:00:00,627720.0
66,66,INC0000067,New,True,0,0,0,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 291,29/2/16 8:05,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,Assigned to 215,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
67,67,INC0000067,New,True,0,0,1,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 291,29/2/16 8:13,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,Assigned to 215,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
68,68,INC0000067,New,True,0,0,2,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 291,29/2/16 8:15,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,Assigned to 215,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
69,69,INC0000067,Active,True,0,0,3,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 291,29/2/16 8:16,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,Assigned to 15,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
70,70,INC0000067,Active,True,0,0,4,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 52,29/2/16 8:30,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 66,Assigned to 15,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
71,71,INC0000067,Active,True,1,0,5,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 291,29/2/16 9:43,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 27,,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
72,72,INC0000067,Active,True,1,0,6,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 291,29/2/16 9:44,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 27,,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
73,73,INC0000067,Active,True,1,0,7,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 79,29/2/16 9:58,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 27,,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
74,74,INC0000067,Active,True,1,0,8,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 788,2/3/16 9:18,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 27,Assigned to 215,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
75,75,INC0000067,Resolved,True,1,0,9,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 788,2/3/16 11:11,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 27,Assigned to 215,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
76,76,INC0000067,Closed,False,1,0,10,True,Caller 413,Opener 74,2016-02-29 08:03:00,Creator 66,29/2/16 8:05,Updater 770,7/3/16 12:00,Phone,Location 111,Desktop,Hard disk,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 27,Assigned to 215,True,False,Do Not Notify,,,,,Closed/Resolved by Caller,Resolver 199,2/3/16 11:11,2016-03-07 12:00:00,619020.0
77,77,INC0000070,New,True,0,0,0,True,Caller 3474,Opener 56,2016-02-29 08:11:00,Creator 52,29/2/16 8:38,Updater 226,29/2/16 8:38,Phone,Location 39,Desktop,Not apply,Unavailability,,2 - Medium,2 - Medium,3 - Moderate,Group 66,Assigned to 28,True,False,Do Not Notify,,,,,Issue resolved itself,Resolver 26,8/3/16 9:55,2016-03-24 18:40:00,2111340.0
78,78,INC0000070,Active,True,0,0,1,True,Caller 3474,Opener 56,2016-02-29 08:11:00,Creator 52,29/2/16 8:38,Updater 611,29/2/16 13:18,Phone,Location 39,Desktop,Not apply,Unavailability,,2 - Medium,2 - Medium,3 - Moderate,Group 66,Assigned to 28,True,False,Do Not Notify,,,,,Issue resolved itself,Resolver 26,8/3/16 9:55,2016-03-24 18:40:00,2111340.0
79,79,INC0000070,Active,True,0,0,2,True,Caller 3474,Opener 56,2016-02-29 08:11:00,Creator 52,29/2/16 8:38,Updater 611,29/2/16 13:21,Phone,Location 39,Desktop,Not apply,Unavailability,,2 - Medium,2 - Medium,3 - Moderate,Group 66,Assigned to 168,True,False,Do Not Notify,,,,,Issue resolved itself,Resolver 26,8/3/16 9:55,2016-03-24 18:40:00,2111340.0
80,80,INC0000070,Awaiting User Info,True,0,0,3,True,Caller 3474,Opener 56,2016-02-29 08:11:00,Creator 52,29/2/16 8:38,Updater 611,29/2/16 13:26,Phone,Location 39,Desktop,Not apply,Unavailability,,2 - Medium,2 - Medium,3 - Moderate,Group 66,Assigned to 168,True,False,Do Not Notify,,,,,Issue resolved itself,Resolver 26,8/3/16 9:55,2016-03-24 18:40:00,2111340.0
81,81,INC0000070,Awaiting User Info,True,1,0,5,True,Caller 3474,Opener 56,2016-02-29 08:11:00,Creator 52,29/2/16 8:38,Updater 289,4/3/16 11:49,Phone,Location 39,Desktop,Not apply,Unavailability,,2 - Medium,2 - Medium,3 - Moderate,Group 28,,True,False,Do Not Notify,,,,,Issue resolved itself,Resolver 26,8/3/16 9:55,2016-03-24 18:40:00,2111340.0
82,82,INC0000070,Awaiting User Info,True,1,0,7,True,Caller 3474,Opener 56,2016-02-29 08:11:00,Creator 52,29/2/16 8:38,Updater 114,8/3/16 9:54,Phone,Location 39,Desktop,Not apply,Unavailability,,2 - Medium,2 - Medium,3 - Moderate,Group 28,,True,False,Do Not Notify,,,,,Issue resolved itself,Resolver 26,8/3/16 9:55,2016-03-24 18:40:00,2111340.0
83,83,INC0000070,Resolved,True,1,0,8,True,Caller 3474,Opener 56,2016-02-29 08:11:00,Creator 52,29/2/16 8:38,Updater 114,8/3/16 9:55,Phone,Location 39,Desktop,Not apply,Unavailability,,2 - Medium,2 - Medium,3 - Moderate,Group 28,Assigned to 28,True,False,Do Not Notify,,,,,Issue resolved itself,Resolver 26,8/3/16 9:55,2016-03-24 18:40:00,2111340.0
84,84,INC0000070,Closed,False,1,0,9,False,Caller 3474,Opener 56,2016-02-29 08:11:00,Creator 52,29/2/16 8:38,Updater 770,24/3/16 18:40,Phone,Location 39,Desktop,Not apply,Unavailability,,2 - Medium,2 - Medium,3 - Moderate,Group 28,Assigned to 28,True,False,Do Not Notify,,,,,Issue resolved itself,Resolver 26,8/3/16 9:55,2016-03-24 18:40:00,2111340.0
85,85,INC0000071,New,True,0,0,0,True,Caller 255,Opener 74,2016-02-29 08:12:00,Creator 66,29/2/16 8:17,Updater 291,29/2/16 8:17,Phone,Location 122,Desktop,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 227,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 210,1/3/16 10:38,2016-03-06 11:00:00,528480.0
86,86,INC0000071,New,True,0,0,1,True,Caller 255,Opener 74,2016-02-29 08:12:00,Creator 66,29/2/16 8:17,Updater 828,1/3/16 8:35,Phone,Location 122,Desktop,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 227,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 210,1/3/16 10:38,2016-03-06 11:00:00,528480.0
87,87,INC0000071,New,True,0,0,2,True,Caller 255,Opener 74,2016-02-29 08:12:00,Creator 66,29/2/16 8:17,Updater 828,1/3/16 8:37,Phone,Location 122,Desktop,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 227,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 210,1/3/16 10:38,2016-03-06 11:00:00,528480.0
88,88,INC0000071,New,True,0,0,3,True,Caller 255,Opener 74,2016-02-29 08:12:00,Creator 66,29/2/16 8:17,Updater 828,1/3/16 8:40,Phone,Location 122,Desktop,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 227,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 210,1/3/16 10:38,2016-03-06 11:00:00,528480.0
89,89,INC0000071,Awaiting User Info,True,0,0,4,True,Caller 255,Opener 74,2016-02-29 08:12:00,Creator 66,29/2/16 8:17,Updater 828,1/3/16 8:40,Phone,Location 122,Desktop,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 227,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 210,1/3/16 10:38,2016-03-06 11:00:00,528480.0
90,90,INC0000071,Awaiting User Info,True,0,0,5,True,Caller 255,Opener 74,2016-02-29 08:12:00,Creator 66,29/2/16 8:17,Updater 828,1/3/16 10:37,Phone,Location 122,Desktop,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 227,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 210,1/3/16 10:38,2016-03-06 11:00:00,528480.0
91,91,INC0000071,Resolved,True,0,0,6,True,Caller 255,Opener 74,2016-02-29 08:12:00,Creator 66,29/2/16 8:17,Updater 828,1/3/16 10:38,Phone,Location 122,Desktop,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 227,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 210,1/3/16 10:38,2016-03-06 11:00:00,528480.0
92,92,INC0000071,Closed,False,0,0,7,True,Caller 255,Opener 74,2016-02-29 08:12:00,Creator 66,29/2/16 8:17,Updater 770,6/3/16 11:00,Phone,Location 122,Desktop,Not apply,No access,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 227,True,False,Do Not Notify,,,,,"Service is stable, ok to close ticket",Resolver 210,1/3/16 10:38,2016-03-06 11:00:00,528480.0
267,267,INC0000115,New,True,0,0,0,True,Caller 5049,Opener 56,2016-02-29 09:20:00,Creator 52,29/2/16 9:31,Updater 226,29/2/16 9:31,Phone,Location 122,Desktop,Not apply,With failure,,2 - Medium,2 - Medium,3 - Moderate,Group 66,Assigned to 79,True,False,Do Not Notify,,,,,Solved Remotely (Permanently),Resolver 72,1/3/16 8:50,2016-03-06 09:00:00,517200.00000000006
268,268,INC0000115,New,True,1,0,1,True,Caller 5049,Opener 56,2016-02-29 09:20:00,Creator 52,29/2/16 9:31,Updater 630,1/3/16 0:58,Phone,Location 122,Desktop,Not apply,With failure,,2 - Medium,2 - Medium,3 - Moderate,Group 58,Assigned to 79,True,False,Do Not Notify,,,,,Solved Remotely (Permanently),Resolver 72,1/3/16 8:50,2016-03-06 09:00:00,517200.00000000006
269,269,INC0000115,New,True,2,0,2,True,Caller 5049,Opener 56,2016-02-29 09:20:00,Creator 52,29/2/16 9:31,Updater 576,1/3/16 8:38,Phone,Location 122,Desktop,Not apply,With failure,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 79,True,False,Do Not Notify,,,,,Solved Remotely (Permanently),Resolver 72,1/3/16 8:50,2016-03-06 09:00:00,517200.00000000006
270,270,INC0000115,New,True,2,0,3,True,Caller 5049,Opener 56,2016-02-29 09:20:00,Creator 52,29/2/16 9:31,Updater 285,1/3/16 8:45,Phone,Location 122,Desktop,Not apply,With failure,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 79,True,False,Do Not Notify,,,,,Solved Remotely (Permanently),Resolver 72,1/3/16 8:50,2016-03-06 09:00:00,517200.00000000006
271,271,INC0000115,Resolved,True,2,0,4,True,Caller 5049,Opener 56,2016-02-29 09:20:00,Creator 52,29/2/16 9:31,Updater 285,1/3/16 8:50,Phone,Location 122,Desktop,Not apply,With failure,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 79,True,False,Do Not Notify,,,,,Solved Remotely (Permanently),Resolver 72,1/3/16 8:50,2016-03-06 09:00:00,517200.00000000006
272,272,INC0000115,Closed,False,2,0,5,True,Caller 5049,Opener 56,2016-02-29 09:20:00,Creator 52,29/2/16 9:31,Updater 770,6/3/16 9:00,Phone,Location 122,Desktop,Not apply,With failure,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 79,True,False,Do Not Notify,,,,,Solved Remotely (Permanently),Resolver 72,1/3/16 8:50,2016-03-06 09:00:00,517200.00000000006
277,277,INC0000119,New,True,0,0,0,True,Caller 3554,Opener 74,2016-02-29 09:22:00,Creator 66,29/2/16 9:31,Updater 291,29/2/16 9:31,Phone,Location 122,Desktop,Not apply,No connection,,2 - Medium,2 - Medium,3 - Moderate,Group 23,Assigned to 79,True,False,Do Not Notify,,,,,Solved Remotely (Permanently),Resolver 72,1/3/16 9:03,2016-03-06 10:00:00,520680.00000000006
